City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Suvorovskaya,RU,44.1942,42.6539,70.09,56,25,4.94,scattered clouds
327,Taksimo,RU,56.3444,114.8794,54.61,83,64,2.66,broken clouds
328,Okakarara,NA,-20.5833,17.4333,51.96,35,0,7.92,clear sky
329,Along,IN,28.1667,94.7667,74.5,99,91,0.56,overcast clouds
330,Luyang,CN,27.6239,110.0989,78.04,73,82,2.28,broken clouds
331,Lompoc,US,34.6391,-120.4579,92.01,69,20,12.66,few clouds
332,Mikhaylovka,RU,50.06,43.2379,71.47,72,2,3.2,clear sky
333,Qaqortoq,GL,60.7167,-46.0333,46.69,81,43,2.46,scattered clouds
334,San Jose,US,37.3394,-121.895,92.26,44,1,9.22,clear sky
335,Zima,RU,53.9202,102.0442,56.71,87,100,2.71,overcast clouds
336,Bintulu,MY,3.1667,113.0333,77.41,94,20,0.0,few clouds
337,Amapa,BR,1.0,-52.0,82.56,72,100,3.36,overcast clouds
338,Yulara,AU,-25.2406,130.9889,54.37,69,69,7.23,broken clouds
339,Saquarema,BR,-22.92,-42.5103,69.94,76,83,5.17,broken clouds
340,Sarangani,PH,5.4033,125.4636,83.46,78,74,11.12,broken clouds
341,Kutum,SD,14.2,24.6667,69.85,78,100,12.73,overcast clouds
342,Lyubech,UA,51.7026,30.6569,70.12,71,72,4.88,broken clouds
343,Vanimo,PG,-2.6741,141.3028,76.23,89,44,4.27,light rain
344,Taos,US,36.4072,-105.5731,77.72,49,1,1.01,light rain
345,Andros Town,BS,24.7,-77.7667,89.56,65,5,14.03,clear sky
346,Salinopolis,BR,-0.6136,-47.3561,79.38,86,37,10.04,light rain
347,Pangnirtung,CA,66.1451,-65.7125,55.81,59,100,4.07,overcast clouds
348,Brewster,US,41.3973,-73.6171,78.31,53,0,1.99,clear sky
