City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Kushmurun,KZ,2021-07-29 06:31:14,52.4503,64.6311,68.13,36,1,7.25
156,Bouar,CF,2021-07-29 06:31:14,5.934,15.596,68.81,89,84,1.86
157,Atbasar,KZ,2021-07-29 06:31:14,51.8,68.3333,68.92,33,0,9.66
158,Koungheul,SN,2021-07-29 06:31:15,13.9833,-14.8,75.34,91,100,4.9
159,Sanming,CN,2021-07-29 06:31:16,26.2486,117.6186,92.57,69,97,3.06
160,Pevek,RU,2021-07-29 06:31:16,69.7008,170.3133,33.49,94,100,26.51
161,San Luis,AR,2021-07-29 06:31:16,-33.295,-66.3356,38.57,36,0,9.08
162,Panjab,AF,2021-07-29 06:31:17,34.388,67.0233,78.08,23,0,7.27
163,Ribeira Grande,PT,2021-07-29 06:31:17,38.5167,-28.7,72.0,68,40,5.75
164,Kautokeino,NO,2021-07-29 06:31:18,69.0125,23.0412,50.5,71,65,12.37
165,Chokurdakh,RU,2021-07-29 06:31:19,70.6333,147.9167,50.27,50,72,11.16
166,Margate,GB,2021-07-29 06:26:51,51.3813,1.3862,59.97,77,34,4.0
167,Atasu,KZ,2021-07-29 06:31:19,48.6814,71.6433,79.99,20,100,3.38
168,Zaragoza,ES,2021-07-29 06:30:07,41.6561,-0.8773,72.01,59,75,1.99
169,Kurmanayevka,RU,2021-07-29 06:31:20,52.5093,52.0675,78.84,31,17,7.31
170,Ugento,IT,2021-07-29 06:31:20,39.9263,18.1574,89.46,41,0,3.33
171,Killybegs,IE,2021-07-29 06:31:21,54.6333,-8.45,50.45,85,97,15.99
172,Kahului,US,2021-07-29 06:31:21,20.8947,-156.47,76.84,89,1,13.8
173,Berbera,SO,2021-07-29 06:31:22,10.4396,45.0143,91.8,36,100,35.12
174,Severnoye,RU,2021-07-29 06:31:22,56.3491,78.3619,67.73,45,20,13.42
175,Safaga,EG,2021-07-29 06:31:22,26.7292,33.9365,92.88,26,1,17.38
176,Morgan City,US,2021-07-29 06:31:23,29.6994,-91.2068,81.0,94,1,0.0
177,Sao Filipe,CV,2021-07-29 06:31:23,14.8961,-24.4956,74.44,76,51,4.99
178,Marawi,PH,2021-07-29 06:31:23,7.9986,124.2928,82.65,57,100,5.12
179,Lamu,KE,2021-07-29 06:31:24,-2.2717,40.902,77.22,73,68,15.68
180,Umm Lajj,SA,2021-07-29 06:31:25,25.0213,37.2685,89.47,64,84,12.24
181,Hauzenberg,DE,2021-07-29 06:31:25,48.65,13.6333,64.62,89,40,3.13
182,Chara,RU,2021-07-29 06:31:26,56.9064,118.2631,74.14,42,56,12.59
183,Mana,GF,2021-07-29 06:31:26,5.6592,-53.7767,75.76,90,45,6.44
184,Zhigansk,RU,2021-07-29 06:31:27,66.7697,123.3711,70.68,34,5,7.78
185,Cidreira,BR,2021-07-29 06:31:27,-30.1811,-50.2056,43.97,72,99,19.37
186,Opuwo,NA,2021-07-29 06:31:28,-18.0607,13.84,60.15,26,17,9.22
187,Buala,SB,2021-07-29 06:31:28,-8.145,159.5921,81.52,77,34,3.44
188,Gbarnga,LR,2021-07-29 06:31:29,6.9956,-9.4722,67.5,96,100,1.86
189,Laem Sing,TH,2021-07-29 06:31:29,12.4816,102.0738,90.52,82,100,12.46
190,Tongliao,CN,2021-07-29 06:31:30,43.6125,122.2653,84.15,55,100,3.31
191,Kruisfontein,ZA,2021-07-29 06:31:30,-34.0033,24.7314,49.89,50,6,11.45
192,Port Augusta,AU,2021-07-29 06:31:30,-32.5,137.7667,64.54,37,5,15.32
193,Paamiut,GL,2021-07-29 06:31:31,61.994,-49.6678,42.53,91,70,5.64
194,Boa Vista,BR,2021-07-29 06:31:31,2.8197,-60.6733,73.38,94,75,6.91
195,Mount Gambier,AU,2021-07-29 06:31:32,-37.8333,140.7667,55.31,71,40,17.27
196,Pacific Grove,US,2021-07-29 06:28:57,36.6177,-121.9166,66.97,89,90,1.99
197,Cabo San Lucas,MX,2021-07-29 06:31:32,22.8909,-109.9124,86.5,67,2,8.95
198,Fakel,RU,2021-07-29 06:31:33,57.6325,53.0252,69.55,42,0,9.64
199,Buraydah,SA,2021-07-29 06:31:33,26.326,43.975,95.45,11,85,10.58
200,Olafsvik,IS,2021-07-29 06:31:34,64.8945,-23.7142,51.17,87,73,14.03
201,Faanui,PF,2021-07-29 06:31:34,-16.4833,-151.75,78.6,73,22,8.77
202,Provideniya,RU,2021-07-29 06:31:34,64.3833,-173.3,48.31,81,90,13.42
203,El Alto,PE,2021-07-29 06:31:35,-4.2714,-81.2147,64.89,85,98,11.43
204,Kloulklubed,PW,2021-07-29 06:31:35,7.0419,134.2556,86.5,69,79,4.38
205,Waipawa,NZ,2021-07-29 06:31:36,-41.4122,175.5153,53.02,90,73,4.72
206,Tottori,JP,2021-07-29 06:27:27,35.5,134.2333,86.0,78,75,4.61
207,Kavieng,PG,2021-07-29 06:31:36,-2.5744,150.7967,84.56,71,6,6.62
208,Lavrentiya,RU,2021-07-29 06:31:37,65.5833,-171.0,44.44,96,97,5.61
