City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
155,Kulhudhuffushi,MV,82.08,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
157,Kharod,IN,76.42,overcast clouds,21.75,82.5667,STARiHOTELS Sheorinarayan
164,Horta,PT,76.64,few clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
167,Natal,BR,79.29,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
168,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
171,Fort Nelson,CA,80.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
173,Novotroitsk,RU,79.5,scattered clouds,51.203,58.3266,Квартира
176,Beidao,CN,70.41,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
180,Fez,MA,77.25,clear sky,34.0372,-4.9998,Hotel Mounia Fès
182,Tres Picos,MX,91.83,clear sky,15.8667,-93.5333,HOTEL TRES PICOS
183,Dryden,CA,70.09,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
184,Jaisalmer,IN,86.77,broken clouds,26.9147,70.9181,Hotel Fifu
185,Laibin,CN,78.75,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
186,Cape Coast,GH,76.19,clear sky,5.1053,-1.2466,Samrit Hotel
188,Indianola,US,80.83,overcast clouds,41.3581,-93.5574,Quality Inn Indianola
191,Faanui,PF,77.86,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
192,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
193,Krasnoarmeysk,RU,73.15,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
194,Havelock,US,91.35,broken clouds,34.8791,-76.9013,Sherwood Motel
198,Pacific Grove,US,88.29,scattered clouds,36.6177,-121.9166,Lovers Point Inn
199,Asyut,EG,93.38,clear sky,27.181,31.1837,Florence Hotel Assiut
200,Najran,SA,86.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
202,Santo Domingo,DO,85.68,broken clouds,18.5001,-69.9886,Cabañas City Heart
205,San Quintin,MX,78.24,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
208,Salalah,OM,75.79,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
